title,Main_Genre
Deep Impact,Sci-Fi
Mulan,Family
Dr. Dolittle,Fantasy
Shakespeare in Love,Romance
Lethal Weapon 4,Thriller
Titanic,Romance
The Lost World: Jurassic Park,Sci-Fi
Men in Black,Sci-Fi
Tomorrow Never Dies,Thriller
Air Force One,Drama
As Good as It Gets,Romance
Liar Liar,Comedy
My Best Friend's Wedding,Romance
The Fifth Element,Sci-Fi
The Full Monty,Music
Independence Day,Sci-Fi
Twister,Drama
Mission: Impossible,Thriller
The Rock,Thriller
The Hunchback of Notre Dame,Family
101 Dalmatians,Family
Ransom,Thriller
The Nutty Professor,Sci-Fi
Jerry Maguire,Romance
Eraser,Thriller
Die Hard with a Vengeance,Thriller
Toy Story,Comedy
Apollo 13,History
GoldenEye,Thriller
Pocahontas,Drama
Batman Forever,Fantasy
Seven,Thriller
Casper,Fantasy
Waterworld,Sci-Fi
Jumanji,Fantasy
The Lion King,Drama
Forrest Gump,Romance
True Lies,Thriller
The Mask,Fantasy
Speed,Thriller
The Flintstones,Fantasy
Dumb and Dumber,Comedy
Four Weddings and a Funeral,Romance
Interview with the Vampire: The Vampire Chronicles,Romance
Clear and Present Danger,Drama
Jurassic Park,Thriller
Mrs. Doubtfire,Family
The Fugitive,Crime
Schindler's List,History
The Firm,Thriller
Indecent Proposal,Romance
Cliffhanger,Thriller
Sleepless in Seattle,Romance
Philadelphia,Drama
The Pelican Brief,Drama
Aladdin,Comedy
The Bodyguard,Music
Home Alone 2: Lost in New York,Family
Basic Instinct,Thriller
Lethal Weapon 3,Thriller
Batman Returns,Action
A Few Good Men,Thriller
Sister Act,Music
Bram Stoker's Dracula,Romance
Wayne's World,Music
Terminator 2: Judgment Day,Sci-Fi
Robin Hood: Prince of Thieves,Drama
Beauty and the Beast,Fantasy
Hook,Family
The Silence of the Lambs,Thriller
JFK,Thriller
The Addams Family,Fantasy
Cape Fear,Thriller
Hot Shots!,Comedy
City Slickers,Comedy
Ghost,Romance
Home Alone,Family
Pretty Woman,Romance
Dances with Wolves,Drama
Total Recall,Action
Back to the Future Part III,Romance
Die Hard 2,Thriller
Presumed Innocent,Thriller
Teenage Mutant Ninja Turtles,Comedy
Kindergarten Cop,Crime
Indiana Jones and the Last Crusade,Adventure
Batman,Adventure
Back to the Future Part II,Sci-Fi
Look Who's Talking,Romance
Dead Poets Society,Drama
Lethal Weapon 2,Thriller
"Honey, I Shrunk the Kids",Family
Ghostbusters II,Horror
The Little Mermaid,Fantasy
Born on the Fourth of July,War
Rain Man,Drama
Who Framed Roger Rabbit,Crime
Coming to America,Romance
Big,Fantasy
Twins,Comedy
"""Crocodile"" Dundee II",Comedy
Die Hard,Thriller
The Naked Gun: From the Files of Police Squad!,Crime
Cocktail,Romance
Beetlejuice,Comedy
Three Men and a Baby,Family
Fatal Attraction,Thriller
Beverly Hills Cop II,Crime
"Good Morning, Vietnam",War
Moonstruck,Romance
The Untouchables,Thriller
The Secret of My Success,Comedy
Stakeout,Thriller
Lethal Weapon,Thriller
The Witches of Eastwick,Horror
Top Gun,Romance
"""Crocodile"" Dundee",Adventure
Platoon,War
"The Karate Kid, Part II",Romance
Star Trek IV: The Voyage Home,Comedy
Back to School,Sport
Aliens,Sci-Fi
An American Tail,Drama
The Golden Child,Comedy
Ruthless People,Crime
Back to the Future,Romance
Rambo: First Blood Part II,Thriller
Rocky IV,Sport
The Color Purple,Drama
Out Of Africa,Romance
Cocoon,Sci-Fi
The Jewel of the Nile,Comedy
Witness,Romance
The Goonies,Family
Spies Like Us,Comedy
Ghostbusters,Fantasy
Beverly Hills Cop,Comedy
Indiana Jones and the Temple of Doom,Action
Gremlins,Horror
The Karate Kid,Family
Police Academy,Comedy
Footloose,Romance
The Terminator,Sci-Fi
Romancing the Stone,Comedy
Star Trek III: The Search for Spock,Sci-Fi
Star Wars Episode VI: Return of the Jedi,Fantasy
Terms of Endearment,Drama
Flashdance,Romance
Trading Places,Comedy
WarGames,Thriller
Octopussy,Thriller
Sudden Impact,Thriller
Staying Alive,Romance
Mr. Mom,Drama
Risky Business,Drama
E.T. the Extra-Terrestrial,Sci-Fi
Tootsie,Romance
An Officer and a Gentleman,Romance
Rocky III,Sport
Porky's,Comedy
Star Trek II: The Wrath of Khan,Drama
48 Hrs.,Crime
Poltergeist,Horror
The Best Little Whorehouse in Texas,Music
Annie,Family
Raiders of the Lost Ark,Adventure
On Golden Pond,Drama
Superman II,Sci-Fi
Arthur,Romance
Stripes,War
The Cannonball Run,Comedy
Chariots of Fire,Sport
For Your Eyes Only,Thriller
The Four Seasons,Drama
Time Bandits,Fantasy
Star Wars Episode V: The Empire Strikes Back,Adventure
9 to 5,Comedy
Stir Crazy,Crime
Airplane!,Comedy
Any Which Way You Can,Comedy
Private Benjamin,War
Coal Miner's Daughter,Music
Smokey and the Bandit II,Crime
The Blue Lagoon,Romance
The Blues Brothers,Crime
Kramer vs. Kramer,Drama
The Amityville Horror,Horror
Rocky II,Sport
Apocalypse Now,War
Star Trek: The Motion Picture,Sci-Fi
Alien,Sci-Fi
10,Romance
The Jerk,Comedy
Moonraker,Crime
The Muppet Movie,Family
Grease,Romance
Superman,Sci-Fi
National Lampoon's Animal House,Comedy
Every Which Way but Loose,Comedy
Heaven Can Wait,Sport
Hooper,Comedy
Jaws 2,Thriller
Dawn of the Dead,Horror
Revenge of the Pink Panther,Thriller
The Deer Hunter,War
Star Wars,Fantasy
Smokey and the Bandit,Romance
Close Encounters of the Third Kind,Sci-Fi
The Goodbye Girl,Romance
Saturday Night Fever,Romance
"Oh, God!",Fantasy
A Bridge Too Far,War
The Deep,Thriller
The Spy Who Loved Me,Thriller
Annie Hall,Romance
Rocky,Sport
To Fly!,History
A Star Is Born,Romance
All the President's Men,Thriller
The Omen,Thriller
In Search of Noah's Ark,Family
King Kong,Horror
Silver Streak,Crime
The Enforcer,Thriller
Midway,History
Dog Day Afternoon,Drama
Shampoo,Romance
The Return of the Pink Panther,Thriller
Funny Lady,Music
The Apple Dumpling Gang,Family
"Aloha, Bobby and Rose",Drama
The Other Side of the Mountain,Drama
